date,year,month,day,nans,range,max,mean,std,svar,kurt,skew,m2,m3,m4,q_25,q_5,q_75,q_9,q_95,q_975,q_99,q_999,urb_mean,sub_mean,diff,diff_perc,E5Stpsmean,E5Stpsmax,E5Stprange,E5Stpstd,E5Stpvar,E5Stpkurt,E5Stpskew,E5Stpm2,E5Stpm3,E5Stpm4,E5Stpq_25,E5Stpq_5,E5Stpq_75,E5Stpq_9,E5Stpq_95,E5Stpq_975,E5Stpq_99,E5Stpq_999,SBCAPE[J/kg],MLCAPE[J/kg],MUCAPE[J/kg],LLS[m/s],MLS[m/s],DLS[m/s],LR58[K/km],MLMR05[kg/kg],d_thetaPE[K],PW[kg/m2],TFP_ZTE[-],DT850[K/km2],GT850[K/km],DPSFC[Pa/km2],GPSFC[Pa/km],E5SWIND10[m/s],E5SE5SDIVWV[g/m2s],E5Smsl[hPa],E5LWIND_500[m/s],E5Lt_500[K],E5Lt_850[K],E5Lt_700[K],E5Lq_500[g/kg],E5Lw_850[Pa/s],E5Lw_700[Pa/s],E5Lw_500[Pa/s],E5Ld_950[10^5/s],E5Ld_300[10^5/s],E5Ld_500[10^5/s],E5Lz_500[km],E5Lz_700[km],E5Lz_850[k]
1989-05-01,1989,5,1,0,0.4,0.4,0.01481,0.07698,0.00593,25.03846,4.9029,0.00571,4.9029,22.03846,0,0,0,0,0.06,0.33,0.4,0.4,0,0.01905,-0.01905,-100,0.46834,3.49099,3.49099,0.7489,0.56085,5.48659,1.72846,0.55881,1.72846,2.48659,0,0,0.78732,1.59571,2.02374,2.54204,3.16518,3.49099,22.05639,22.29509,13.7873,3.6802,8.80557,14.61718,6.32317,0.006,-12.36058,15.66438,-0.10072,-2.05615,0.01776,-3.90345,0.09022,3.21968,-0.06708,1015.9671,14.11905,254.56996,280.91665,271.92608,0.63209,-0.1012,-0.06646,-0.07441,-1.28371,0.84708,-0.21159,5.66631,3.06995,1.49678
1989-05-02,1989,5,2,0,4.9,4.9,0.68519,1.35127,1.82593,5.65523,1.96486,1.7583,1.96486,2.65523,0,0,0.775,3.22,3.88,4.69,4.9,4.9,0.01667,0.87619,-0.85952,-98.09783,3.32084,12.79746,12.30531,2.59713,6.74508,4.83071,1.52152,6.72055,1.52152,1.83071,1.50321,2.44186,4.03799,7.2509,9.21275,10.69892,11.9048,12.79746,13.85385,33.60687,28.81019,5.56493,7.50391,13.24019,6.51788,0.00571,-12.77805,18.17801,-0.26254,-3.41922,0.02872,-4.07157,0.09463,4.23007,-0.03953,1015.10174,9.17895,252.67529,279.66046,269.69611,0.9732,-0.11413,-0.15533,-0.19135,-0.79981,1.09787,-0.04874,5.61616,3.0375,1.47336
1989-05-03,1989,5,3,0,21.8,21.8,4.30741,4.67456,21.85148,8.80583,2.29943,21.04217,2.29943,5.80583,1.575,3.2,5,8,15.34,20.47,21.8,21.8,3.75,4.46667,-0.71667,-16.04478,6.5916,22.42241,21.64331,3.5887,12.87876,5.23921,1.11682,12.83193,1.11682,2.23921,3.89603,6.20022,8.33848,10.89466,12.97877,15.53468,17.26983,22.42241,85.31683,52.97187,109.63642,4.04425,5.80319,9.23352,6.46726,0.00636,-11.86778,19.11908,-0.03437,-1.79333,0.02165,-3.12586,0.09137,3.12966,-0.02919,1011.40676,6.6309,250.33513,276.89169,267.60648,0.67237,-0.07146,-0.09326,-0.08508,-0.91296,0.50321,0.19399,5.54298,2.98579,1.43421
1989-05-04,1989,5,4,0,5.7,5.7,0.55185,1.5582,2.42798,8.09123,2.60927,2.33805,2.60927,5.09123,0,0,0,3.04,5.105,5.5775,5.7,5.7,0.01667,0.70476,-0.6881,-97.63514,1.35658,8.6465,8.6152,1.93626,3.7491,4.44371,1.60344,3.73547,1.60344,1.44371,0.13247,0.31605,1.79068,4.78217,5.75987,6.29075,7.30522,8.6465,8.03544,20.89796,8.12279,3.44952,3.52533,5.11244,6.1382,0.00583,-12.62249,18.4493,-0.08507,-0.60126,0.01647,-4.31101,0.08983,3.13918,0.00243,1012.53341,4.15339,250.7841,275.99636,267.36424,0.57976,-0.01823,0.00713,0.03115,-0.25295,-0.59028,-0.00523,5.54607,2.9853,1.43596
1989-05-05,1989,5,5,0,9,9,1.55556,2.33787,5.46564,5.54808,1.75276,5.26321,1.75276,2.54808,0,0.3,2.625,4.26,7.3,8.65,9,9,1.4,1.6,-0.2,-12.5,1.38894,7.11407,7.01196,1.29989,1.68972,5.98884,1.71027,1.68358,1.71027,2.98884,0.51928,0.84161,1.87171,3.54553,4.03362,4.38217,6.17273,7.11407,24.52772,14.56522,6.02049,2.25193,3.94861,6.51247,6.23755,0.00586,-10.80591,17.29966,0.00446,0.29599,0.01335,-4.63414,0.08827,1.80218,0.02493,1008.9362,5.15601,249.34842,274.82998,266.05866,0.61954,0.00242,0.01053,-0.00686,0.22766,-0.08115,-0.07807,5.49325,2.9466,1.40529
1989-05-06,1989,5,6,0,18.9,18.9,1.54815,4.49824,20.23413,12.04735,3.27012,19.48472,3.27012,9.04735,0,0,0.65,1.66,15.585,18.2175,18.9,18.9,0.11667,1.95714,-1.84048,-94.03893,1.38328,6.27467,6.21073,1.28213,1.64386,4.512,1.38289,1.63788,1.38289,1.512,0.44213,0.93442,2.0377,3.23811,3.87573,4.7997,5.4413,6.27467,73.57845,24.50012,69.38521,2.0281,3.79176,7.86038,6.56449,0.0057,-9.26528,15.30438,0.0125,0.18083,0.01071,-4.70174,0.0867,1.59247,0.0295,1002.8343,7.07812,248.61378,275.37749,265.80752,0.49884,0.0304,0.06464,0.07456,0.17042,-0.47525,-0.02605,5.44311,2.90505,1.36321
1989-05-07,1989,5,7,0,3.6,3.6,0.25185,0.73609,0.54182,17.29679,3.79579,0.52176,3.79579,14.29679,0,0,0,0.8,1.645,3.1975,3.6,3.6,0.2,0.26667,-0.06667,-25,0.67413,4.32209,4.21777,0.76716,0.58853,8.04191,2.32193,0.58639,2.32193,5.04191,0.25177,0.35764,0.70966,1.71618,2.66603,3.01423,3.38496,4.32209,89.75003,23.14699,50.14114,1.59211,5.09123,9.05194,6.26034,0.00553,-8.92074,15.07647,-0.08918,-0.27873,0.0142,-5.10212,0.08805,1.77551,0.02468,1007.0187,7.30384,250.55618,276.15976,266.00956,0.40197,0.00813,0.07105,0.12277,0.05329,-1.20887,0.21679,5.49553,2.9464,1.40287
1989-05-09,1989,5,9,0,6.5,6.5,0.66296,1.80046,3.24165,7.8166,2.55306,3.12159,2.55306,4.8166,0,0,0,3.7,5.905,6.3775,6.5,6.5,0,0.85238,-0.85238,-100,2.79849,12.3865,12.3865,3.36741,11.33946,2.76958,0.95043,11.29823,0.95043,-0.23042,0,0.77855,5.03604,7.94417,9.65197,10.63103,11.68536,12.3865,44.28048,18.48822,29.86146,2.82874,5.5318,9.57362,6.50464,0.00546,-9.69507,15.77807,-0.20965,-0.7594,0.01185,-5.0104,0.08733,1.82372,-0.03266,1007.70799,8.78316,250.40379,277.08044,267.18765,0.59573,-0.06135,-0.07485,0.0081,-0.46081,-0.51077,0.35808,5.51666,2.96072,1.41271
1989-05-10,1989,5,10,0,0.6,0.6,0.07037,0.15888,0.02524,6.61913,2.19933,0.02431,2.19933,3.61913,0,0,0,0.38,0.43,0.565,0.6,0.6,0.08333,0.06667,0.01667,25,0.83638,5.59612,5.59612,1.13099,1.27914,5.11099,1.62501,1.27449,1.62501,2.11099,0.08385,0.21029,1.50393,2.61044,3.2268,3.60803,4.84353,5.59612,125.28589,28.43373,111.5799,2.27833,3.99391,5.96638,6.62966,0.00579,-9.2229,16.2367,-0.07546,-1.41554,0.01188,-4.85306,0.08683,1.42689,0.01935,1009.45615,4.8029,250.60323,277.82449,267.63786,0.5883,-0.00229,0.02189,0.03397,-0.03371,0.09146,0.07378,5.54062,2.98268,1.43195
1989-05-11,1989,5,11,0,4.2,4.2,0.24074,0.9065,0.82174,15.60331,3.70672,0.7913,3.70672,12.60331,0,0,0,0,2.585,3.8675,4.2,4.2,0.38333,0.2,0.18333,91.66667,0.43002,12.19712,12.19712,1.11589,1.24522,64.50231,7.17177,1.24069,7.17177,61.50231,0.09455,0.14071,0.30222,0.89216,1.38636,2.74222,5.93921,12.19712,73.43335,17.06491,64.26233,3.83592,4.24366,6.84765,6.46634,0.0061,-9.32412,16.58779,0.01559,-0.47954,0.00715,-5.01554,0.08612,2.80159,-0.00096,1008.82943,7.32028,252.16601,278.85417,268.66264,0.57154,0.0099,0.04668,0.0989,0.08979,-0.63012,0.24557,5.56239,2.98933,1.43227
